iter	Logloss
0	0.668117863
1	0.6445508437
2	0.6225348135
3	0.6027526031
4	0.5850056712
5	0.5696135279
6	0.555914402
7	0.5428841421
8	0.53132371
9	0.5205647139
10	0.5114127105
11	0.5032035313
12	0.4959145198
13	0.4888859797
14	0.4826288254
15	0.4767842276
16	0.4716964167
17	0.4667511198
18	0.4621392671
19	0.4582814239
20	0.4544661493
21	0.4511356113
22	0.4483557889
23	0.4454959349
24	0.4427896119
25	0.4404712108
26	0.4384488064
27	0.436306028
28	0.4344524914
29	0.4328056593
30	0.4312696615
31	0.4300556146
32	0.4289312201
33	0.4276278296
34	0.4264670566
35	0.4254616384
36	0.424476479
37	0.4236662309
38	0.4227925977
39	0.4220714963
40	0.4214197172
41	0.4206321082
42	0.4199995868
43	0.4193634128
44	0.4186801108
45	0.4181883099
46	0.4175945593
47	0.416951955
48	0.4165930789
49	0.4162090105
50	0.4156948772
51	0.415165822
52	0.4148603297
53	0.4145299799
54	0.4142276875
55	0.4139378686
56	0.4135446388
57	0.4131699291
58	0.412887614
59	0.4126713966
60	0.4123618528
61	0.4120488345
62	0.4118826608
63	0.4116248411
64	0.4114020534
65	0.4111835491
66	0.4109366656
67	0.4106598076
68	0.4104200856
69	0.4102459712
70	0.4101230767
71	0.4099321108
72	0.4098169813
73	0.4097104193
74	0.4095530446
75	0.4094241383
76	0.4092350604
77	0.4090531499
78	0.4089749071
79	0.4088338956
80	0.4086904495
81	0.408591747
82	0.4084983242
83	0.4083616836
84	0.4082699177
85	0.4081057134
86	0.4079960938
87	0.4078470405
88	0.4077074538
89	0.4076335249
90	0.4075218116
91	0.4074373692
92	0.4073716798
93	0.4072880038
94	0.4072214922
95	0.4071267133
96	0.4070360498
97	0.4069397395
98	0.4068170764
99	0.4067248829
100	0.406609139
101	0.4065078418
102	0.4064588313
103	0.406393736
104	0.4063297786
105	0.4062494513
106	0.4062025161
107	0.4061005356
108	0.4060201852
109	0.4059230549
110	0.4058787992
111	0.4057809922
112	0.405710227
113	0.4056618824
114	0.4055779446
115	0.4055305068
116	0.4054625619
117	0.405398847
118	0.4053451574
119	0.4052833642
120	0.405212969
121	0.4051609919
122	0.4050981608
123	0.4050569454
124	0.404995462
125	0.4049287447
126	0.4048134158
127	0.4047683232
128	0.4046943936
129	0.4046508142
130	0.4046114606
131	0.4045805548
132	0.4045377315
133	0.4044511259
134	0.4043752949
135	0.4043034052
136	0.4042324368
137	0.404168878
138	0.4041366961
139	0.4040675686
140	0.4040218704
141	0.4039891908
142	0.4039577377
143	0.4039353114
144	0.4038899501
145	0.4038451924
146	0.4038027286
147	0.4037474506
148	0.4037114828
149	0.4036672231
150	0.40362843
151	0.4035747527
152	0.4035332676
153	0.4034847056
154	0.4034537988
155	0.4034182225
156	0.4033762674
157	0.4033504951
158	0.4032946113
159	0.4032378484
160	0.4032069
161	0.4031718041
162	0.4031325692
163	0.4031020994
164	0.403043129
165	0.4029728752
166	0.4029364305
167	0.4028997353
168	0.4028596353
169	0.4028340609
170	0.4028068721
171	0.4027684779
172	0.4027388412
173	0.4026889941
174	0.4026638859
175	0.4026412566
176	0.4025845132
177	0.4025547706
178	0.4025311598
179	0.4025133581
180	0.4024767291
181	0.4024467177
182	0.4024140441
183	0.4023928052
184	0.4023545459
185	0.4022970267
186	0.4022673744
187	0.4022390906
188	0.402214779
189	0.402174453
190	0.4021217896
191	0.4020822058
192	0.4020609414
193	0.4020469938
194	0.4020053392
195	0.4019801684
196	0.4019418379
197	0.4019015613
198	0.4018593659
199	0.4018417527
200	0.4018256033
201	0.4017965639
202	0.4017698725
203	0.4017408717
204	0.4016839639
205	0.401642639
206	0.401605683
207	0.4015636963
208	0.4015451137
209	0.4015160949
210	0.4014956913
211	0.4014718751
212	0.4014353718
213	0.4013995564
214	0.4013722327
215	0.4013463687
216	0.4013077161
217	0.4012794112
218	0.4012424043
219	0.4012215586
220	0.4011932616
221	0.4011543217
222	0.4011397183
223	0.4011140148
224	0.4010836964
225	0.4010498783
226	0.4010283231
227	0.4009946075
228	0.4009755457
229	0.4009552463
230	0.4009236323
231	0.4008943078
232	0.4008734218
233	0.4008394729
234	0.4008081225
235	0.4007836497
236	0.4007605269
237	0.4007481823
238	0.4007315909
239	0.4007044579
240	0.4006709995
241	0.4006390683
242	0.4006173751
243	0.4005767534
244	0.4005350587
245	0.4005006329
246	0.4004728324
247	0.4004498575
248	0.4004248796
249	0.40041001
250	0.4003884849
251	0.400364276
252	0.400334237
253	0.400310553
254	0.4002805828
255	0.4002562256
256	0.4002244717
257	0.4001938914
258	0.4001653251
259	0.400130557
260	0.4001074953
261	0.4000866181
262	0.4000469611
263	0.4000197423
264	0.3999906948
265	0.3999529358
266	0.3999291944
267	0.3999047066
268	0.3998807871
269	0.3998566341
270	0.3998319027
271	0.399809571
272	0.3997775251
273	0.3997654077
274	0.3997390904
275	0.3997065586
276	0.3996812695
277	0.3996518287
278	0.3996258126
279	0.3995922794
280	0.3995636612
281	0.399535972
282	0.3995206578
283	0.3994845536
284	0.3994577174
285	0.3994293615
286	0.3994018495
287	0.3993656843
288	0.3993410716
289	0.3993180389
290	0.3992898162
291	0.3992547337
292	0.3992084493
293	0.3991836617
294	0.3991630184
295	0.3991388204
296	0.3991201592
297	0.399098907
298	0.3990730086
299	0.3990586401
300	0.3990305164
301	0.3990146984
302	0.398991471
303	0.3989550222
304	0.3989223656
305	0.3988991417
306	0.3988793096
307	0.3988462127
308	0.3988295387
309	0.3988082019
310	0.3987804677
311	0.3987612274
312	0.3987344066
313	0.39871086
314	0.3986937595
315	0.3986663635
316	0.3986243419
317	0.3985959128
318	0.3985664735
319	0.3985407616
320	0.3985082271
321	0.398488457
322	0.3984601393
323	0.3984244088
324	0.3984054877
325	0.398380959
326	0.3983451735
327	0.3983239419
328	0.3983063593
329	0.3982771624
330	0.3982537278
331	0.3982331153
332	0.3982034585
333	0.3981749934
334	0.3981558512
335	0.3981230574
336	0.3980952424
337	0.3980767378
338	0.3980446444
339	0.3980275576
340	0.3979910357
341	0.397953198
342	0.3979194488
343	0.3978955021
344	0.3978797523
345	0.3978632654
346	0.3978305821
347	0.3978036085
348	0.3977680704
349	0.3977496187
350	0.3977117971
351	0.3976831287
352	0.3976559894
353	0.3976309956
354	0.397598859
355	0.3975507551
356	0.3975192611
357	0.3974991477
358	0.397469599
359	0.3974467335
360	0.3974106106
361	0.3973888976
362	0.3973647879
363	0.397343311
364	0.3973221842
365	0.3973141981
366	0.3973003342
367	0.3972861633
368	0.3972594071
369	0.3972421949
370	0.3972300502
371	0.3972216495
372	0.397195028
373	0.3971629212
374	0.3971420008
375	0.3971251598
376	0.3971139924
377	0.3970784396
378	0.3970500874
379	0.3970171241
380	0.3969867573
381	0.396958311
382	0.3969391236
383	0.3969105712
384	0.3968842632
385	0.3968541484
386	0.3968286277
387	0.3967979417
388	0.3967677765
389	0.3967468446
390	0.3967274883
391	0.39670121
392	0.3966641013
393	0.3966329031
394	0.3966171575
395	0.3965823815
396	0.3965628829
397	0.396534646
398	0.3965011208
399	0.3964792443
400	0.3964615218
401	0.3964429099
402	0.3964146451
403	0.3963858184
404	0.3963750239
405	0.3963373304
406	0.3963123457
407	0.3962860837
408	0.3962467337
409	0.3962357699
410	0.3962228546
411	0.3962012927
412	0.3961835118
413	0.3961601736
414	0.3961336687
415	0.3961053938
416	0.3960952604
417	0.3960791038
418	0.3960438625
419	0.3960173214
420	0.395999649
421	0.3959776352
422	0.3959673562
423	0.3959383307
424	0.3959240426
425	0.3959016435
426	0.3958912419
427	0.3958759871
428	0.3958453244
429	0.3958241618
430	0.3957981071
431	0.3957762715
432	0.3957598799
433	0.3957429747
434	0.3957240143
435	0.3957033702
436	0.3956858225
437	0.3956721971
438	0.3956586601
439	0.3956411144
440	0.3956202911
441	0.3956021187
442	0.3955946045
443	0.3955720653
444	0.3955666942
445	0.395547091
446	0.3955277999
447	0.395507392
448	0.3954879133
449	0.3954569265
450	0.3954368533
451	0.395416037
452	0.3953899194
453	0.3953754069
454	0.3953476641
455	0.3953223695
456	0.3952942275
457	0.3952654055
458	0.3952396669
459	0.3952231998
460	0.3952073453
461	0.3951939873
462	0.395173373
463	0.3951557088
464	0.3951314481
465	0.3951162978
466	0.3950925163
467	0.3950716656
468	0.3950445522
469	0.3950217603
470	0.3950082849
471	0.3949772875
472	0.3949551328
473	0.3949402565
474	0.394921539
475	0.3948999549
476	0.3948880284
477	0.3948697811
478	0.3948488988
479	0.3948286109
480	0.3948028063
481	0.3947753253
482	0.3947511608
483	0.3947366051
484	0.3947162976
485	0.3946895223
486	0.3946758867
487	0.3946501742
488	0.3946306575
489	0.3946085452
490	0.3945968331
491	0.3945809941
492	0.3945525437
493	0.3945281663
494	0.3945119539
495	0.3944827769
496	0.3944548493
497	0.3944361629
498	0.3944144256
499	0.3943986375
500	0.3943857621
501	0.394373315
502	0.3943528491
503	0.3943423491
504	0.3943233662
505	0.3943097587
506	0.3942932364
507	0.3942591847
508	0.394235064
509	0.3942226797
510	0.3941991068
511	0.394189395
512	0.394162536
513	0.3941440026
514	0.3941216244
515	0.3940984026
516	0.394086074
517	0.3940654501
518	0.3940479533
519	0.3940331078
520	0.3940124821
521	0.3939977241
522	0.3939809276
523	0.3939592947
524	0.3939288667
525	0.3939083758
526	0.3938820176
527	0.3938660407
528	0.3938394494
529	0.3938155255
530	0.3937963135
531	0.3937727749
532	0.3937511119
533	0.3937203748
534	0.393697105
535	0.393671556
536	0.3936568019
537	0.3936333367
538	0.3936055529
539	0.3935865976
540	0.3935758988
541	0.3935628296
542	0.3935532341
543	0.3935432533
544	0.3935257166
545	0.3935021278
546	0.3934733181
547	0.3934561835
548	0.3934474976
549	0.3934160224
550	0.393399632
551	0.3933710764
552	0.3933493052
553	0.3933357201
554	0.3933111017
555	0.3932940916
556	0.3932673768
557	0.3932417485
558	0.3932200688
559	0.3932044104
560	0.3931897943
561	0.3931645275
562	0.3931425696
563	0.3931263493
564	0.3931117905
565	0.3931021314
566	0.3930769428
567	0.393062967
568	0.3930516389
569	0.3930323854
570	0.393013913
571	0.3929847412
572	0.392959244
573	0.3929466263
574	0.3929272972
575	0.3929144684
576	0.3928929481
577	0.3928740114
578	0.3928488921
579	0.3928188013
580	0.392809931
581	0.3927960088
582	0.3927789665
583	0.3927563683
584	0.3927365426
585	0.392715003
586	0.3927061479
587	0.392683574
588	0.3926685435
589	0.3926453548
590	0.3926225294
591	0.3925931167
592	0.3925767267
593	0.3925595476
594	0.3925433339
595	0.3925242758
596	0.392502259
597	0.3924856848
598	0.3924579618
599	0.3924405702
600	0.3924181524
601	0.3923908044
602	0.3923725505
603	0.3923534092
604	0.3923397524
605	0.3923164214
606	0.3922915183
607	0.392262206
608	0.3922493305
609	0.3922330031
610	0.3922122014
611	0.3921810384
612	0.3921505241
613	0.39213364
614	0.3921226173
615	0.3920958499
616	0.3920766326
617	0.3920610062
618	0.3920387993
619	0.3920150514
620	0.3919931172
621	0.3919788353
622	0.3919619296
623	0.391949496
624	0.3919302151
625	0.3919121237
626	0.3918980002
627	0.3918748428
628	0.391853699
629	0.3918394695
630	0.3918259238
631	0.3918042453
632	0.3917864678
633	0.3917637792
634	0.3917282522
635	0.3917022274
636	0.391681607
637	0.3916752937
638	0.3916611024
639	0.3916439649
640	0.3916283277
641	0.391612382
642	0.3915966506
643	0.391577203
644	0.3915532454
645	0.3915326833
646	0.3915190162
647	0.3915029094
648	0.3914837239
649	0.3914511272
