iter	Passed	Remaining
0	20	13409
1	41	13300
2	59	12857
3	78	12642
4	96	12496
5	114	12277
6	131	12100
7	148	11945
8	167	11935
9	180	11558
10	189	10988
11	197	10496
12	205	10076
13	212	9665
14	221	9360
15	229	9077
16	237	8844
17	246	8638
18	254	8456
19	263	8287
20	271	8129
21	279	7976
22	288	7853
23	296	7735
24	304	7605
25	312	7506
26	320	7400
27	329	7313
28	337	7232
29	346	7156
30	354	7082
31	362	7010
32	371	6945
33	379	6881
34	388	6818
35	396	6760
36	404	6709
37	413	6657
38	421	6607
39	430	6559
40	438	6514
41	447	6471
42	455	6434
43	464	6393
44	472	6352
45	481	6317
46	489	6279
47	497	6244
48	506	6208
49	515	6180
50	523	6148
51	531	6117
52	540	6085
53	548	6055
54	556	6024
55	565	5994
56	573	5969
57	581	5939
58	590	5910
59	597	5880
60	606	5854
61	614	5829
62	623	5807
63	631	5781
64	649	5841
65	668	5912
66	685	5965
67	693	5939
68	702	5913
69	709	5874
70	717	5848
71	725	5824
72	733	5800
73	742	5777
74	750	5754
75	759	5732
76	777	5787
77	796	5839
78	807	5836
79	815	5812
80	824	5788
81	832	5766
82	841	5748
83	849	5727
84	858	5706
85	866	5684
86	875	5663
87	883	5642
88	891	5622
89	900	5601
90	908	5582
91	917	5562
92	925	5542
93	933	5522
94	941	5499
95	949	5479
96	958	5461
97	966	5443
98	974	5424
99	982	5406
100	991	5388
101	999	5370
102	1007	5351
103	1016	5334
104	1024	5318
105	1033	5301
106	1041	5284
107	1049	5267
108	1058	5251
109	1065	5228
110	1073	5212
111	1081	5195
112	1089	5179
113	1098	5163
114	1106	5148
115	1115	5132
116	1123	5117
117	1131	5100
118	1139	5085
119	1147	5069
120	1156	5055
121	1164	5040
122	1172	5023
123	1180	5009
124	1189	4995
125	1197	4980
126	1206	4966
127	1214	4952
128	1222	4938
129	1231	4924
130	1239	4910
131	1247	4896
132	1255	4881
133	1264	4867
134	1271	4850
135	1279	4837
136	1288	4823
137	1296	4810
138	1305	4797
139	1313	4784
140	1321	4771
141	1330	4758
142	1338	4744
143	1346	4731
144	1354	4717
145	1362	4704
146	1370	4690
147	1379	4678
148	1387	4665
149	1395	4652
150	1403	4639
151	1412	4627
152	1420	4614
153	1429	4602
154	1437	4590
155	1445	4578
156	1453	4565
157	1462	4553
158	1471	4545
159	1480	4533
160	1488	4522
161	1497	4510
162	1505	4498
163	1513	4486
164	1522	4474
165	1530	4462
166	1538	4450
167	1547	4439
168	1555	4428
169	1564	4416
170	1572	4404
171	1580	4392
172	1589	4381
173	1597	4369
174	1605	4358
175	1613	4346
176	1622	4335
177	1630	4323
178	1638	4311
179	1644	4294
180	1652	4282
181	1661	4271
182	1669	4260
183	1677	4249
184	1685	4237
185	1694	4226
186	1702	4215
187	1710	4203
188	1718	4192
189	1727	4181
190	1735	4171
191	1744	4160
192	1752	4149
193	1760	4138
194	1768	4127
195	1777	4116
196	1785	4105
197	1793	4094
198	1801	4083
199	1810	4073
200	1818	4062
201	1827	4052
202	1835	4041
203	1843	4031
204	1852	4020
205	1860	4010
206	1869	4000
207	1877	3990
208	1886	3979
209	1894	3969
210	1902	3958
211	1910	3947
212	1918	3937
213	1927	3926
214	1935	3916
215	1943	3905
216	1952	3895
217	1960	3885
218	1968	3874
219	1977	3864
220	1985	3854
221	1993	3844
222	2012	3853
223	2031	3863
224	2043	3859
225	2051	3848
226	2059	3838
227	2068	3827
228	2076	3817
229	2084	3806
230	2092	3795
231	2100	3785
232	2109	3775
233	2117	3764
234	2126	3754
235	2134	3744
236	2143	3734
237	2151	3724
238	2160	3714
239	2168	3704
240	2176	3693
241	2184	3683
242	2193	3673
243	2201	3662
244	2209	3652
245	2217	3642
246	2226	3632
247	2234	3622
248	2242	3612
249	2251	3601
250	2259	3591
251	2267	3581
252	2276	3571
253	2284	3561
254	2292	3550
255	2300	3541
256	2309	3531
257	2317	3521
258	2325	3511
259	2334	3501
260	2342	3491
261	2350	3481
262	2359	3471
263	2367	3461
264	2376	3452
265	2384	3442
266	2393	3432
267	2401	3422
268	2409	3412
269	2417	3402
270	2426	3392
271	2434	3383
272	2441	3372
273	2449	3361
274	2458	3352
275	2467	3343
276	2477	3335
277	2485	3325
278	2493	3316
279	2502	3306
280	2510	3296
281	2519	3287
282	2526	3276
283	2535	3267
284	2543	3257
285	2551	3247
286	2559	3237
287	2577	3239
288	2585	3229
289	2593	3219
290	2601	3209
291	2609	3199
292	2618	3190
293	2626	3180
294	2635	3170
295	2643	3161
296	2651	3151
297	2659	3141
298	2668	3132
299	2676	3122
300	2684	3112
301	2692	3102
302	2700	3093
303	2709	3083
304	2717	3073
305	2725	3064
306	2734	3054
307	2742	3045
308	2750	3035
309	2759	3026
310	2767	3016
311	2775	3006
312	2783	2997
313	2791	2987
314	2799	2977
315	2807	2967
316	2815	2957
317	2824	2948
318	2832	2938
319	2840	2929
320	2849	2920
321	2857	2910
322	2865	2901
323	2873	2891
324	2881	2881
325	2890	2872
326	2898	2862
327	2906	2853
328	2914	2843
329	2922	2834
330	2930	2824
331	2939	2815
332	2947	2805
333	2955	2796
334	2963	2786
335	2972	2777
336	2980	2768
337	2989	2759
338	2998	2750
339	3006	2741
340	3014	2731
341	3023	2722
342	3030	2712
343	3038	2702
344	3046	2693
345	3055	2684
346	3063	2675
347	3071	2665
348	3080	2656
349	3088	2647
350	3096	2637
351	3105	2628
352	3113	2619
353	3123	2612
354	3132	2602
355	3140	2593
356	3148	2584
357	3156	2574
358	3165	2565
359	3173	2556
360	3182	2547
361	3190	2538
362	3198	2528
363	3206	2519
364	3214	2510
365	3222	2500
366	3230	2490
367	3238	2481
368	3246	2472
369	3254	2462
370	3262	2453
371	3270	2443
372	3278	2434
373	3286	2425
374	3294	2416
375	3303	2407
376	3311	2397
377	3319	2388
378	3328	2379
379	3336	2370
380	3344	2361
381	3353	2352
382	3361	2343
383	3369	2334
384	3377	2324
385	3386	2315
386	3394	2306
387	3402	2297
388	3411	2288
389	3419	2279
390	3427	2270
391	3435	2261
392	3444	2252
393	3452	2243
394	3460	2233
395	3470	2225
396	3478	2217
397	3487	2208
398	3495	2198
399	3503	2189
400	3511	2180
401	3520	2171
402	3528	2162
403	3536	2153
404	3545	2144
405	3553	2135
406	3561	2126
407	3570	2117
408	3578	2108
409	3586	2099
410	3594	2090
411	3602	2081
412	3610	2071
413	3618	2062
414	3627	2053
415	3635	2044
416	3653	2041
417	3670	2037
418	3679	2028
419	3687	2019
420	3695	2010
421	3703	2001
422	3711	1991
423	3719	1982
